id	filename	md5	size	state
6c26af65-bb77-411b-9d85-308b109764f9	16072816-2afe-4204-9abf-70a38e62db6f.rna_seq.augmented_star_gene_counts.tsv	a01ddc4abb6454c8c6344ea313334acd	4204914	released
b2c13f06-0588-4d2f-b869-91ea5d80b8fb	a8ce7460-8ccd-4638-a854-55c4068af6ec.rna_seq.augmented_star_gene_counts.tsv	611924167f4732ee1f4da3fe32522378	4231111	released
f15bfb93-71dc-4593-9ef4-e5e909a8fe64	51b2184b-d837-47df-b157-8759c5fa2101.rna_seq.augmented_star_gene_counts.tsv	5126d0889067f68bad931165f73fe49a	4230904	released
f22b9830-6c68-4680-91d8-ed37f042ca4e	0357aa51-9436-4923-9b1e-eb22bdf647df.rna_seq.augmented_star_gene_counts.tsv	24edb2741c2a8d2b9f7ef23ead5fd36e	4232608	released
228b425f-ddc8-46e4-b246-41f4389b7a97	cfbdbfeb-7550-46dc-bd3b-bf85c4a14443.rna_seq.augmented_star_gene_counts.tsv	02cfad62cf2c22bee50b4786f6d51d7d	4237552	released
73ba2db0-55f1-41ef-a9c3-e480caab4edd	b83a1cf6-50a6-44fa-834d-8b3df88149fa.rna_seq.augmented_star_gene_counts.tsv	bb7854faee2495ac22747599ca6b76d4	4189828	released
82aa9226-61c4-4cd7-9138-5199e7c85e6a	e0c9f612-91a0-4b84-b3d5-665514324cb6.rna_seq.augmented_star_gene_counts.tsv	436ee62f67c6de271428ce908ae32267	4205198	released
78e565d9-4c8c-44b1-8d58-473381e92c52	e7f9aa2a-9c1b-4c63-953b-4922fafd9150.rna_seq.augmented_star_gene_counts.tsv	c232226a0baf5fd457f1e8939d4f31ff	4219189	released
c834cb75-259c-40bd-93cc-48f9756cc47a	bbeadeec-bb57-4762-8828-3bd1696748fb.rna_seq.augmented_star_gene_counts.tsv	a40f5c62360b45e2226deaca7fd36a14	4218016	released
3836f766-08fc-4496-8470-3f9e51b14b3c	0429cf04-6e5c-41dd-b4a9-4f7ad15d15bc.rna_seq.augmented_star_gene_counts.tsv	ecf40992fcb1c87498ef1eb3e80406ad	4213928	released
2831af62-6269-4f8c-b142-f8ff2c6f897d	4613d81b-e9ba-4c36-96a5-d7c9667b83ec.rna_seq.augmented_star_gene_counts.tsv	56817e6c3e751ad6fad24bf1b0b99ad6	4202714	released
a3205a5c-e22a-4a1d-91eb-48d2d4e51e97	be297c26-df4c-4ae2-a117-a8c6d1cfb421.rna_seq.augmented_star_gene_counts.tsv	d9260b111fda3c4a1bb87507cf4aa274	4202151	released
932db5dc-d38c-478c-8f8f-13b33282920a	6a9afc26-1b35-4752-b6c8-cb0bb595e012.rna_seq.augmented_star_gene_counts.tsv	99fb888f9435a74db6102629e2bc70db	4225526	released
a699ac84-2b1c-4cea-99f2-62d8873b4940	5901ebff-017f-4d0d-be85-dbe959815548.rna_seq.augmented_star_gene_counts.tsv	726f34a6f93936f7f6bb0d964298cf12	4222467	released
477b8769-8e6d-408d-a1d6-a57ece08fb9a	45bb01dd-5506-42f2-9093-3ea378bec587.rna_seq.augmented_star_gene_counts.tsv	8654c871adf668c03f8ccad91acd7cdb	4237869	released
17add25f-e442-4c52-b75a-a35b890ed565	a3b44031-71ef-476f-a8bd-3694226ce026.rna_seq.augmented_star_gene_counts.tsv	54456b71bd56a2e990d88b4c5f569725	4198960	released
bb24863f-4b09-46ac-aacc-4073cad3a7d8	8c76ce45-f110-4f6a-b413-13a1a1aeddef.rna_seq.augmented_star_gene_counts.tsv	c6871c0f90ee5471e695a70f78764935	4191496	released
e119e5f6-aac4-4ccb-9cf1-78085f1821a9	0e1c98de-b4e2-4f42-beca-9948f867a46b.rna_seq.augmented_star_gene_counts.tsv	e01fb7cb7b38823e52fbc60e9868c0f4	4197490	released
359bacfe-23d1-4d3b-870e-8f98982540ce	48128da3-329b-45c5-be65-c8cbeccddb97.rna_seq.augmented_star_gene_counts.tsv	05ddd18011466a4938adf8e43fb40de5	4206013	released
a666a0f3-e5ed-40b5-b425-5fe0190d30dd	3d6b96fa-5efa-4c8a-9a12-2718304252d4.rna_seq.augmented_star_gene_counts.tsv	619a7f8e589980be1d0dad5fcea81581	4187366	released
d77dfe53-77dd-46c9-80a4-19d343e8ee36	d6b7de60-321d-4f6d-82e7-3d5e9598462c.rna_seq.augmented_star_gene_counts.tsv	1c0f84f4725a83d3885531bb844a2db1	4178966	released
72579862-a9da-4565-a077-269af17f9249	f755bd47-f8ff-4847-9b8e-7d36b7b84155.rna_seq.augmented_star_gene_counts.tsv	dc5f17d487b41cbae282c500a567517b	4237963	released
33b4cb11-fada-4d2b-b7ce-61077f94f0e9	d2995480-5ae0-42e1-9a21-25e1435201ee.rna_seq.augmented_star_gene_counts.tsv	49062897474acb3b98e1a06f5fa9f3a9	4240799	released
cca7879a-744d-488a-a2e9-67dd4a40946d	26596228-9935-4e5d-8e41-d10f51e0f364.rna_seq.augmented_star_gene_counts.tsv	43d43d04d0b5845478ebe37987c36631	4242914	released
f82830d3-3399-41a8-806e-974fb3255d67	6e0c14ea-3eb3-424a-bc12-fb127ac1a777.rna_seq.augmented_star_gene_counts.tsv	764c2a6c7c80579c5b9c4210f04be8e8	4211125	released
580959a1-736e-4dde-a794-b6f9dbc7e252	cddceb59-733b-48d1-9b75-46c9949f7794.rna_seq.augmented_star_gene_counts.tsv	58d3013896f6032f255a997aa825d92d	4202862	released
85adb9cd-3a7f-452c-8804-8e0a0fc499a1	9176b038-65e3-469d-a867-d99bc732e45d.rna_seq.augmented_star_gene_counts.tsv	ee2a86309a8b2c9f6600675e8bf12e0b	4209908	released
54f615f0-aa45-43a1-8ad8-098868fab3c3	270a14bb-8ae5-4372-a66b-b3d71bf217f7.rna_seq.augmented_star_gene_counts.tsv	beabc7e29001ca05feb5fe4d01c6d4e9	4229170	released
7cba9b28-fd44-4211-b772-e3f1649f21b6	131a9973-dfc9-4897-8c19-d5c43cecba0a.rna_seq.augmented_star_gene_counts.tsv	47187279864ac138a6470a8db46556a6	4196500	released
526975f3-cec3-42d1-aa19-8df2d7f9fb5d	fcb06f2b-bc4d-406d-82c3-76802c77a75b.rna_seq.augmented_star_gene_counts.tsv	0e2606e4fda3ccfca10755f15b281c9c	4210601	released
b1b311b9-aae9-4f5d-b9df-60acd9f43c0b	ad16ffcf-fd80-4008-9309-c4fe1e757507.rna_seq.augmented_star_gene_counts.tsv	d61155dea887a58a1ed514e0f56644e4	4212138	released
2d7e6bc2-b313-41a4-9c5e-3e05d3be0f1f	d4211058-4fb9-470e-9dfe-5e4be33564ff.rna_seq.augmented_star_gene_counts.tsv	767b154872abd3371de995456e17a2be	4238957	released
23d33ac1-a9db-463b-9f86-06603e02f357	1a7b3a4d-bf0b-4ddc-b23c-1d4c4590ee1a.rna_seq.augmented_star_gene_counts.tsv	92387e0fca463c8850318108156e98ca	4210191	released
c6688171-4c26-4e27-baa5-34c51fb1fc48	c7a22797-676e-4f10-a51d-e3ee91a29a21.rna_seq.augmented_star_gene_counts.tsv	04f8b6959a5f951ab3b45424790ba0bd	4230791	released
0e6df121-536a-4bb2-8197-4e8891c24181	df4e44f9-ee22-43d3-911e-fd4bd826ec0c.rna_seq.augmented_star_gene_counts.tsv	12651cb4bbdb4ff76af995a4e0889750	4216851	released
91a95c38-5ab7-4166-b4e7-64454cb3d06c	7b98348a-13f8-404a-9a1e-280ae481b6b0.rna_seq.augmented_star_gene_counts.tsv	37e64c1290dcf23dc6d8046313f78c95	4208645	released
8b7acbfc-5614-45dc-99b6-bbcb34dfc32f	c58c72c3-3152-461a-b55a-9bcccc0b71f4.rna_seq.augmented_star_gene_counts.tsv	2d5e4df7e251a071d88bd3cee259540c	4230052	released
0ab52521-ed65-49f9-8508-e90062281352	f139697f-e8aa-4ed3-aed3-b36ae0493d40.rna_seq.augmented_star_gene_counts.tsv	825421d2866bf23e8daf0a0f03e8a9c3	4224517	released
66b73eaa-d174-4086-8286-9db6eeba1990	ea9f5a96-93d4-4724-bc4b-2813fa8a35ae.rna_seq.augmented_star_gene_counts.tsv	1bce80b273b3015046ab3d33fbb45e8a	4195291	released
21a0b137-e939-4866-aa76-90baecea1826	e255e8fa-b1c7-42bf-9934-4ea44bed860f.rna_seq.augmented_star_gene_counts.tsv	3546fb93a7b5bce3c91f5032c9e0de38	4205422	released
a7affc28-aba2-41ab-8f5c-be859ae055dc	3ef878b7-f7c7-4ce5-ae5b-dac3f70155e7.rna_seq.augmented_star_gene_counts.tsv	fb050108b436b86925e4ddf746d70fae	4208716	released
66905cb5-6459-48fd-b04c-bc69ac477228	40b98f15-43cb-426b-880c-951a4b28c3e2.rna_seq.augmented_star_gene_counts.tsv	d813b10ccfad3bcb2dee85cfc2f904d4	4233852	released
a31c742c-328b-47a7-bcd4-6958706afe87	a528e2fc-f91a-4835-a0f6-0a49400a40a2.rna_seq.augmented_star_gene_counts.tsv	253e7a25e1fa1ece7aee1a6e7edfb986	4210085	released
951959ef-f8c3-4d93-b480-1dfac47aa64c	6d4df71e-cbf8-49e7-a511-8c8c1ea780e8.rna_seq.augmented_star_gene_counts.tsv	bdafbead65a5052fc794c5eff394c674	4236761	released
f29d3d45-b381-4fe5-af7a-eab8a4d010f4	49df6599-2159-457c-a94f-980cab788dbf.rna_seq.augmented_star_gene_counts.tsv	675decf8ed8b8705d586c7a49dba5ed1	4222956	released
d6cff9b4-6b57-4ad9-8325-92d1232c7f39	7c6f92ab-6cf8-4293-b676-2619c40f6ee6.rna_seq.augmented_star_gene_counts.tsv	2b207c800e3e09d7fdb85e59861b48b2	4222111	released
08239799-b042-41c2-90cd-6a0dad35e54d	798dbd1d-9df6-42ab-8fe9-c48e416b3ec1.rna_seq.augmented_star_gene_counts.tsv	9fc8421464f6c42e97a5c8496cf9211d	4232725	released
dc0b07cb-49fb-44d0-b4d0-e99d50532d6d	c0529681-133f-47a6-bb6d-cd10c738524b.rna_seq.augmented_star_gene_counts.tsv	91c3d6b0c1cdad4e1e118812dd9572be	4234053	released
985d5043-cf68-4f4b-bba1-1aa621ab20c9	ec48e2b8-ca0a-40fe-a87b-f0e955466840.rna_seq.augmented_star_gene_counts.tsv	0483e650f8bee65d5925816d3e9c93a6	4235818	released
f8c9f623-fea7-4608-ac73-342e1c349647	513fb61a-1339-45d2-8963-6337e3aff5df.rna_seq.augmented_star_gene_counts.tsv	7bfea2b8210ee25ab58c5792cdedd820	4220014	released
adcab898-861a-42f8-aa50-7b111222c019	9f9dec84-0c2c-4f85-8024-b8fb1de1eb81.rna_seq.augmented_star_gene_counts.tsv	b920d88c3023cc7181918071e1bd9220	4219905	released
822091c7-86c2-4315-b6bb-d022149296d5	d342d71a-e556-401d-b17f-802d0d39e8c9.rna_seq.augmented_star_gene_counts.tsv	bc277d05cba59f0f94bc646a4f37e933	4247187	released
cc7b8015-fab8-444e-92d4-df119de11a05	78699d1d-aa39-473a-b3ea-24164d3a443c.rna_seq.augmented_star_gene_counts.tsv	c27f554863c60f5ab8616c3016ea0b07	4229028	released
6484ba83-32ed-492e-99c9-8f78f7b530e1	4d347bfa-eb25-4e9d-9594-4e1d99545678.rna_seq.augmented_star_gene_counts.tsv	6791335bdb7afa96ce0be7ef700d12f9	4207488	released
0d6ba88c-ba7a-4e82-96b0-67e2b084b088	802f1041-19bc-4bec-8452-5e4b19a8100e.rna_seq.augmented_star_gene_counts.tsv	fc21eb15a4c21979b54627499ffb9cc9	4204667	released
b168cdcd-5516-4d22-a0cf-57a2d7c274ec	852508b0-5a5e-4730-8c70-6aabc0aa88be.rna_seq.augmented_star_gene_counts.tsv	6043631c4c7e5e3892daa1c60c7adae1	4216426	released
be636d1c-edb1-427b-8c42-cbb8cc819f34	f5174c29-918d-4ad9-bd44-c94463396414.rna_seq.augmented_star_gene_counts.tsv	f5f577eff4800b2563243f6293f2d7b9	4196611	released
9a6cef0c-1db2-4ec8-9918-b261ce6f5a86	34b0602a-c93d-4734-b860-a2cb66091e2e.rna_seq.augmented_star_gene_counts.tsv	f429e6879c348a2cd8dc80db809dab1f	4212141	released
4ee68361-8f6e-4cbd-abc0-1b0092de2460	f844415e-ca2a-4837-b050-06775fdb2ed5.rna_seq.augmented_star_gene_counts.tsv	4bda4dc937fec859d4b157767ac676e2	4191006	released
982c34fb-e9cb-47b3-841a-850ad949cf41	02faba9d-8eda-4967-995d-61a0c13b843c.rna_seq.augmented_star_gene_counts.tsv	d96421fad80242e081975a2ea97d3da2	4197081	released
df5f2430-dabe-4f19-bf81-379b46233ab4	6f043250-acea-4315-8400-a172214c84c7.rna_seq.augmented_star_gene_counts.tsv	ca5b179fedd7ef0a61e242877b33c2c0	4211456	released
c679154e-df11-4b05-9584-76437286d2ee	185b401a-bdc4-46b9-b2a5-7a66938f28f2.rna_seq.augmented_star_gene_counts.tsv	a16207bfe3191326996c3f04e51419ff	4213612	released
4167d62e-8d12-4cba-9198-157975a8ea25	367ce5cb-52f9-4c87-aaa3-2808fca08bef.rna_seq.augmented_star_gene_counts.tsv	8954b2b3f5395d807d680ed7a5ad4cb4	4196323	released
9ade3932-9032-46d6-8171-c34a0dc51fce	8f1213be-da41-4cd6-97b2-f9fce1ea00ff.rna_seq.augmented_star_gene_counts.tsv	fe0f6951f69feb9bbaf336bc37fcec03	4204891	released
d6af00a8-d733-4788-aaf4-8522479eba2d	d25af392-21ad-4aa6-8669-34656bf71af5.rna_seq.augmented_star_gene_counts.tsv	63e7cd56e71eda21f49ae12d74ddc312	4194374	released
456e94a2-2a07-426c-9857-3d71647393a9	f825534d-5882-4efe-a32e-af56741854f6.rna_seq.augmented_star_gene_counts.tsv	b28d20dfa319a72fc9502843ab32df89	4237288	released
52defb9b-4d00-4e24-a4ed-7a2742660ac6	8824c0fd-764e-4525-952b-f25efa742772.rna_seq.augmented_star_gene_counts.tsv	bf9e84bf901994d742772cda000e4c37	4185488	released
becb812a-90b7-4b6f-ad39-5a0b7179b523	7b837bdd-5a59-47f6-a1aa-259142234bd5.rna_seq.augmented_star_gene_counts.tsv	595b68b71824ece4372d3cd2a49cb8ad	4234437	released
69ccf4e3-15a5-4e1d-91af-402100e85349	3bc40056-88b6-483c-8701-747eb6e851c4.rna_seq.augmented_star_gene_counts.tsv	d98e98d83438fbcd38d727bb3172a9ac	4246959	released
411ef195-13d2-4c3a-b8df-b3e6150fe73d	d22c9285-50cf-4724-9f81-606fb54c00fc.rna_seq.augmented_star_gene_counts.tsv	7b457ace3936e79db632eaea79fb70ea	4215553	released
f22d4282-9230-4dba-bb9a-625367c07c66	8939877c-f889-4da7-b3d5-439000935940.rna_seq.augmented_star_gene_counts.tsv	780b64fd0333e23722ae787a91e12967	4192096	released
b315758e-62d1-408b-9510-fc0a4294f7ec	7f9dadec-d447-41be-a192-637ce36467da.rna_seq.augmented_star_gene_counts.tsv	d8eaddfd6fb16411585e5264ced900dc	4233470	released
cd3ed542-e30f-46a9-9ad5-51af33188505	007344ca-2cc3-4837-9b44-824040f7ac16.rna_seq.augmented_star_gene_counts.tsv	d4e96a504b1f4019b86683cb0a7b2820	4207813	released
f723420c-2ff1-4742-a4bb-8f525aaa43a7	6e639239-cdae-4412-880f-ef813a956ff7.rna_seq.augmented_star_gene_counts.tsv	05ec35777ef12bffe999b9c7eda6bc27	4238751	released
56b924c9-299d-41a1-b3fb-38586051a26e	63bab58e-1dfd-43df-8188-4b8d766913f3.rna_seq.augmented_star_gene_counts.tsv	0e90423ca12788a2cf789604bf9dc217	4242335	released
363e9f25-63d0-4b66-bf5e-f2dc1f92b10f	f2937ebc-be3f-4533-a08c-a0767bc2b022.rna_seq.augmented_star_gene_counts.tsv	169e8c9fca7e9b6a1bdc5d8dfd54cb22	4216510	released
9553502a-98ec-45f8-a597-fc0d0217d2a8	f0944087-afaa-4817-9529-e6e5a8c50ca7.rna_seq.augmented_star_gene_counts.tsv	010392117bf3e58d64c67246823504f9	4212594	released
f6ee3045-d3fb-4641-99d8-f1ecc13b3e2e	e563c3cd-6f05-4ab0-9579-90686b7561e8.rna_seq.augmented_star_gene_counts.tsv	2845429d09c95be2c32e637c28e54fd5	4237070	released
2a9575e3-6fd5-46be-a101-3bbb3ba391e4	213f702a-56fd-4ab0-940c-a71e4e01b6f8.rna_seq.augmented_star_gene_counts.tsv	841a896ee7c8e654395f1d214f42ee8a	4228879	released
9e632342-a45b-4bd1-87d1-0e53a32f4c18	26251cd8-7e90-46bb-a025-1328d83c83ee.rna_seq.augmented_star_gene_counts.tsv	04a39b06b92138ad5c84c9d68336468b	4209843	released
60ef8c92-dcad-401e-b92e-09a51eb305f2	4925248f-21e2-476e-937c-02e0a748c77b.rna_seq.augmented_star_gene_counts.tsv	2f1f287c82003d415e4145bb78ad09c9	4234060	released
0d42dff4-8815-4b8d-b11c-705dfdb0a5b8	2d8478f6-41ac-47f5-ac3c-337af7245f5b.rna_seq.augmented_star_gene_counts.tsv	45f191b06d272e88183f530a98046425	4238170	released
1035f31d-080e-4a79-ada7-6637ed571ee3	b71da73b-05c2-49e1-85b8-d93980ffe15d.rna_seq.augmented_star_gene_counts.tsv	d80a30b05501e31a51e4ac1845031478	4235650	released
56c23214-8903-47cc-8290-e8bd59f24d11	10013d81-e167-4aa0-b548-5bb359ed403a.rna_seq.augmented_star_gene_counts.tsv	cee2f788583ce03c270005eb79cc502d	4207578	released
6bf81928-1d79-4e7f-90e2-2ce92d23a889	cadbc884-10b6-41e4-8aee-dc11a1453b8c.rna_seq.augmented_star_gene_counts.tsv	a8f21e8aa297a74d7cb412ad1829f2df	4242595	released
74fdc082-daf5-4254-99a4-56974d59e457	62a2cbf8-51be-469b-978c-bdf386e0d651.rna_seq.augmented_star_gene_counts.tsv	29cf15bd5fc27dbf7367803a85809d59	4187509	released
52ff3499-fd89-4efd-a1d5-aa6400af197a	0ffd0bed-35a4-4fec-9d56-1d4ae5dcb507.rna_seq.augmented_star_gene_counts.tsv	fdd21d813b2fc08b2640d1d42940fe1d	4209302	released
01d414a2-2b77-41e8-8622-98b277f5dc85	8a25dfb0-edd0-4a44-9a6b-8f3f761b940c.rna_seq.augmented_star_gene_counts.tsv	e96d9130aea5c38d515cdb3fd5bfd72d	4234391	released
65b264eb-820a-49d1-b02f-00d1171b1544	5ca9ac39-e175-4890-ba6e-9ff4709d3f37.rna_seq.augmented_star_gene_counts.tsv	f141ada3c86241eecd09d32532195098	4228367	released
f1ef36b0-4034-486b-bb33-c17be39641c4	7b3b5487-3788-4498-b9a2-0fd77967ad66.rna_seq.augmented_star_gene_counts.tsv	c987a294361d8de178739d508d66fa10	4230031	released
a570b2ac-a4ea-439f-a90b-39b84fd4cae0	2c10534e-5fb7-49b0-8f57-584cb31f3a08.rna_seq.augmented_star_gene_counts.tsv	7209241aa9bb3a1a9168682027c2894d	4239651	released
831c4d7d-ade6-4bc7-b03a-011a16b42f47	fd49c74b-2a85-46cd-aaa0-dbd2f1284947.rna_seq.augmented_star_gene_counts.tsv	605ed62b802da66e2b26813eadb8bc6d	4232396	released
436c03fc-d558-45a2-8c7c-bbf123f0e415	e0464181-da72-4a14-9039-a396843c39f2.rna_seq.augmented_star_gene_counts.tsv	c32112bdb616c642212eb72e6719792a	4233942	released
c9d2b1f4-93fc-4841-8575-4ba9aa0b1ed2	544dbca2-f436-4cb7-9e11-572ead91d28d.rna_seq.augmented_star_gene_counts.tsv	ddab10ce947b99face008a017ba522d0	4243992	released
0cb4425b-6b54-44ef-8594-f91b3b13d403	680dcf75-8d74-45ca-b1d6-0ef7310e6473.rna_seq.augmented_star_gene_counts.tsv	4d4349218309cf79f7224ff913f91fe3	4253310	released
f1c92755-1e8f-4bdb-bcc9-d0c93d0b9467	c6b8ebf0-1000-41c9-9d72-5d0cd07e7255.rna_seq.augmented_star_gene_counts.tsv	08125f255062185f7617ff9e97e0256d	4224314	released
aa35c5aa-8435-4269-9891-fac36b6e4928	d4f1cd6e-4a8b-44de-b569-c839eda9f41d.rna_seq.augmented_star_gene_counts.tsv	6a44a4e2cff580a34f896746dd369795	4238433	released
27404c59-9a94-4c61-ac2e-12bc30e12b4a	054d5602-4089-4f34-a667-14c8edbb4167.rna_seq.augmented_star_gene_counts.tsv	d935087c2e1872d29de9a3781ac1eaed	4205541	released
13048c52-e0c7-4289-b7a3-86e0042f3c7b	d422cd50-9c99-49bb-8a83-988af190126e.rna_seq.augmented_star_gene_counts.tsv	36f397fc8954720187f114623f10e130	4235128	released
b2edd86b-860a-4420-9be8-a19d0405f6b0	2595272f-8c61-4020-b1b4-a7ff38dbc5b6.rna_seq.augmented_star_gene_counts.tsv	13e5c91db9a5ba3d7b20fd93d61af1b3	4235644	released
e8890508-2f98-460e-91f6-b03e3e213823	39857506-1b61-498b-aee6-b8d80f66db1b.rna_seq.augmented_star_gene_counts.tsv	0e893bcd2bdeeb342bbb825bf4c5d495	4233136	released
3530cc00-2ddb-42ad-98b7-997310495567	bf5f606f-17ae-46bb-b687-7863ab3d97b1.rna_seq.augmented_star_gene_counts.tsv	9003969732d9c1841a898b9fbb09507f	4236111	released
b18dafa7-46e3-45da-ba05-c9941305056e	2cf34da3-fe4b-42b4-bd32-9bf8930b6054.rna_seq.augmented_star_gene_counts.tsv	034a308769377239beca6468d4d4d7ff	4209657	released
aa12b89c-6964-4602-9455-07c2be1f2762	ca7ac1e1-4c44-40a5-8094-eeebc0c2c5a2.rna_seq.augmented_star_gene_counts.tsv	5135339b8516bc9fe9e6dd028007ff4b	4209408	released
04981c65-5d1e-4ced-bfd0-8db2e078b5c2	4bafe83e-072c-4042-bd3d-5f108391ed89.rna_seq.augmented_star_gene_counts.tsv	87c939d577508b6586e4bd1ab1f9b30e	4214788	released
